subdomain,ip,status,http_code,https_code,server
inference-staging.bottlerocket.tesla.com,N/A         ,DEAD       ,000   ,000   ,N/A         
kronosdb.tesla.com                      ,N/A         ,DEAD       ,000   ,000   ,N/A         
learning-apac.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
lighthouse.tesla.com                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
lionpayshare.tesla.com                  ,N/A         ,DEAD       ,000   ,000   ,N/A         
lionpaytest.tesla.com                   ,N/A         ,DEAD       ,000   ,000   ,N/A         
lionshare.tesla.com                     ,N/A         ,DEAD       ,000   ,000   ,N/A         
ion.tesla.com                           ,external-na-pop1.edgekey.net.,CLIENT_ERR ,403   ,403   ,AkamaiGHost 
mfa-dev.tesla.com                       ,N/A         ,DEAD       ,000   ,000   ,N/A         
gpv.tesla.com                           ,gpv.tesla.com.akadns.net.,DEAD       ,000   ,000   ,N/A         
iad05-gpgw1.tesla.com                   ,199.120.48.30,DEAD       ,000   ,404   ,N/A         
kronos.tesla.com                        ,kronos.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,N/A         
kronos-dev.tesla.com                    ,kronos-dev.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,N/A         
mobile-links-cdn.prd.vn.cloud.tesla.com ,d2qvfxpk5rs4fh.cloudfront.net.,REDIRECT   ,301   ,000   ,CloudFront  
monitoring-eu.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
nas-origin.tesla.com                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
obs.tesla.com                           ,N/A         ,DEAD       ,000   ,000   ,N/A         
mobile-links-cdn.eng.vn.cloud.tesla.com ,d14qurt0vbjsqs.cloudfront.net.,REDIRECT   ,301   ,000   ,CloudFront  
OpenADRClient.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
live-data.fn.tesla.com                  ,live-data.america.fn.tesla.com.,ALIVE      ,000   ,200   ,N/A         
media-server-api.eng.vn.cloud.tesla.com ,usw-eng5x-media-npumedia-prd.teslafleet.akadns.net.,DEAD       ,000   ,404   ,N/A         
monitoring.tesla.com                    ,23.41.116.211,DEAD       ,000   ,000   ,N/A         
media-server-dev-api.eng.vn.cloud.tesla.com,usw-eng5x-media-npumedia-prd.teslafleet.akadns.net.,DEAD       ,000   ,404   ,N/A         
owner-api.eng.vn.cloud.tesla.com        ,N/A         ,DEAD       ,000   ,000   ,N/A         
payment-dlocal-prod.tesla.com           ,N/A         ,DEAD       ,000   ,000   ,N/A         
marketing.tesla.com                     ,13.111.47.196,DEAD       ,000   ,000   ,N/A         
paymentrecon.tesla.com                  ,N/A         ,DEAD       ,000   ,000   ,N/A         
